,user_name,user_elite,stars,review,user_date,user_friends,user_reviews,user_photos,user_url
10,Keyawnia R.,1,2,"I could've had a V8... *shrug shoulders* and I hate tomato juice.This pizza was beyond over sold to me. The absolute silver living was the crust was cooked perfectly. I love a nice doughy crust in the center, but crusty crunchy hard bottom and edges to hold all the cheese and sauce.  I for #2 did not enjoy the sauce. The sauce lacked any depth or any other flavors besides tomato. It was acidic, pungent, and bland. I would  rather licked the thorns of a rose bush than to ingest that sauce again.Another upside was the delicious cherry Italian ice. This it a classic for me that you cant go wrong with. A beautiful red, silky cherry Italian Ice on a July day is the remedy for anything that will bothers you.",7/14/2019,265,73,142,t0g1EV_Jwr4LD6pX5CfVDg
11,Matthew Z.,0,4,"Can you ever really beat classic Brooklyn?I went yesterday with my fiance and in laws to celebrate a few birthdays and even though the wait for a party of 9 in the heat was a bit long late on a Sunday night, it sure was worth it.Collectively we ordered a bunch of items to share including mozzarella sticks, arianchini, fried zucchini, some salads, pasta, and of course the Sicilian pizza. While all the food was pretty good ( surprise shoutout to the arianchini), by far the best thing we had was that pizza.Cut as a sicilian pie as opposed to the more traditional round version, the pizza has the perfect combination of sweet tomato sauce, a hint of cheese, and dough which is fluffy enough when you bite into it but stands up strong against this saucy mama. Honestly, if this is what Chicagoans claimed as deep dish pizza I would be fine eating it. But until they do, its traditional NY slices and Sicilians for me.Even though you might be stuffed from your dinner, save a little room for the spumoni on the way out; your sweet tooth will thank you later.",7/15/2019,47,71,22,hyzAtIyotWarGiJWxA89BQ
12,Karina S.,1,5,"This place is just the best and can't compare to any other NYC pizza joint. Although on the expensive side, every once in a while it's nice to indulge in a square slice and some spumoni (they have a variety of flavors, my favorite being the creamsicle and spumoni!). Their pizza is amazing. This place gets crowded on summer nights but honestly there's plenty of outdoor seating, so there's always somewhere to sit... or stand. Definitely recommend!",7/5/2019,106,80,439,_IlvA43dH3K2vG4hmYf8NA
13,Jill G.,1,5,Made a stop here because I am a huge fan of Sicilian pizza and this place did not disappoint. The slice is perfect and the sauce is very tasty. Adding some crushed red pepper and garlic powder really kicked up the flavor. One of the best Sicilian slices I've had.,7/21/2019,32,82,63,ytTpcM-4Y6wDNOFAr9uu6A
14,Julie Ying X.,1,5,"A really great pizza place in Brooklyn, too bad it's so far from where I live.  However, if it's closer, I would gain 20 pounds so probably best that it's far.  I really like coming here in the summer on the weekends.  You can order from the window and eat in the large outdoor seating area.  I came here on a Sunday afternoon with a group of 4 people.  We ordered the square slices ($3 each) and large cups of rainbow spumoni ice cream ($3.75).  Their square slice was thick, great crispy crust, and tangy tomato sauce.  The rainbow (vanilla, chocolate, pistachio) spumoni ice cream was smooth, creamy, and full of pistachios.  You might as well get the large since it's only a 50 cent difference and it's much larger.  I would come back next summer, definitely a Brooklyn summer tradition.",7/7/2019,241,620,621,52R1k6G03m8ES7N1rXiB1Q
15,Zayn S.,1,5,"This spot is nice. Right in Brooklyn, GREAT pizza. They even have a little spot for beer and wings and fries.I think it's a great cheap family spot to visit, sit outside and enjoy some good New York pizza. I got a round and a slice and they were both so delicious. Two thumbs up for me",7/1/2019,638,95,84,M2lvj2bvvSK8-JFzuKay1g
16,Katherine B.,1,5,"Came here after an event in Brooklyn to try the infamous Sicilian slice. It was heaven! I was a little thrown off at first with the cheese being under the sauce but it was so good. I also had to try the Ice Cream that I heard great things about as well. I didn't want anything heavy so I got the Vanilla Chip Ice, not exaggerating but it was definitely the best Ice I've had. I live on Long Island but I most definitely plan on making a trip here again!",6/16/2019,113,188,281,YzoT--EfzMc7oGRBmMdYFA
17,Steve S.,1,5,"This is my favorite pizza place I have ever been too.  Ever since I saw this establishment on man vs food, I wanted to try it. With all the positive reviews and ratings,  I knew it was going to be amazing.  And I was right.  I have ate here about 3 or 4 times now, and everytime the pizza was fresh and delicious.   I always order the squared pie (Sicilian), as you can never go wrong with that. To me, that us the best type of pizza they make.  There is always a long line to order, which I dont mind, and that shows just how damn popular this place really is.  When in Brooklyn,  especially the Coney Island area, you must try the pizza here. You won't regret it!!!",6/9/2019,133,125,534,ZQglJsk6SvEGF06Jq62YIA
18,Alexis R.,1,4,"I'm from Long Island in a Italian neighborhood but never heard of Spumoni. My friend who lives in Brooklyn told me I have to go here. We came and thank God they had a parking lot. I took the last spot available. Lucky me! Anyway, I ordered the mixed spumoni and it was so creamy. It was extremely tasty and worth the money. The line was long but so worth it. You have to try this Brooklyn staple!",6/16/2019,417,779,201,uNsBgB0z0OWkFoPqInrR4Q
19,Sho R.,1,5,"The square slice is the best thing here. A thick slice of pizza topped with cheese and marinara. I added some pepper flakes also. It was one of the best pizzas I ever had. This is the first time in my life I am eating pizza with no added toppings. Generally I add 5 or more toppings to my pizza. Even without any toppings this is the best. The spumoni also tasted really good. This place has a lot of outdoor seating. If you just take food from the outside counter and eat in the outdoor seats, it will be very quick.",6/1/2019,50,508,2321,Pntr3Eo9j0kiV0n9ZxmL8Q
20,Alfie B.,0,4,I love this place which is weird for me to say as I am picky about the Italian food that I eat as well as pizza. Now I am a HUGE fan of extra cheese on my pizza. That being said they are not known for there cheese. Seeing this at first glance I was not impressed. I was told to have a square and you'll see. So I did. Now I am a huge fan of corner squares. So I got a pie with some friends and got my parmesan cheese covered the slices and dug in. I was very pleasantly surprised when I loved it. I highly recommend this spot for anyone who loves a good pizza. I don't have much experience with their food but what I had was good.This place is a true Brooklyn landmark. I will go there any day of the week.,7/16/2019,31,20,0,XQL3teFtKe9rDxlFj5AyOw
21,T. C.,0,5,"5 stars for the Sicilian pizza!  The sicilian slice has sauce that tastes like fresh tomatoes, not too much cheese, and the perfect crust/crumb. I would definitely want to visit this place again. I wasn't crazy about the NY style pizza, though. It wasn't bad by any means, but I've had better elsewhere, such as Scarr's, where the sauce has a much more intense flavor.  But here is where the Sicilian slice shines. The line went by very quickly, and the restaurant takes credit or cash.",5/26/2019,19,92,165,7aHvx4kTH92t5q4P0qTcAw
22,Kyle C.,1,4,Been going here since a kid and I went back and the taste was like a trip down memory lane. The only thing taking the 5th star away is kind of avoidable due to the high traffic of customers. You can tell the pizza has been sitting on a rack for a while before it is thrown in the oven. However the circle pie was good but the square is the way to go. Perfect charred crust and that tangy sauce is always going to hit home!!!,5/23/2019,2,162,291,K6mz_v2RDQ7hiX2uQZOKWQ
23,Lauren S.,0,5,"I love this pizza!! Give me a corner and call it a day ! Some people think it's sweet, others think it's too much sauce but their squares are awesome. Good solid slice of pizza. You definitely should try it and see what the hypes about .",7/12/2019,7,7,0,qrO8m-4yK9EOGvxWiMeCSw
24,Amina R.,0,5,"I came back here again but this time I sat down in the restaurant. They accommodated us despite it being close to closing. I had their penne vodka pasta this time and it was delicioussss. We also got two Sicilian slices. Crust crispy, middle layer soft, sauce is decadent. Just great.",6/24/2019Updated review,787,113,140,u2DLsieVuS7FgjMvOxh1lA
25,Scott G.,0,3,"This review is based solely on the pizza which you can order to-go (or enjoy on their huge outdoor and covered patio). Their grandma slice squares ($3 each) are thick, crunchy, and a a tad sweet. Overall, pretty standard peetza. I'm not entirely sure why there is so much hype surrounding this place; perhaps it's due to their rich history in BK. Anyways, swing by for a slice if you're in the area. I don't believe it is worth a long trek, though.",6/9/2018Previous review,38,473,10,Z2PISdtGHThSUUbFccGkrA
26,June C.,1,5,Very cheap price $3 for a slice of square pizza. It has very rich red tomato sauce and rich cheese between the bread. The bread is thick but very soft unlike the thin pizza you usually get in Manhattan. They have different lines for a slice of pizza or a pie or ice cream. You can choose if you want your slice on the side of pie which has a crunch or center of the pie. It's almost one hour away by D train subway from Manhattan. I like their ice cream more than the pizza. They have a rainbow flavor which contains three colors. Their ice cream is not very sweet. It tastes like ice and it won't make you feel very thirsty after. They have indoor seating and outdoor too.,7/2/2019,99,143,125,P6uFkYDb71W9GU1Ici7VGw
27,Tina B.,0,4,"Love their pizza! The waiters kinda rush you out of there though which isn't right when you're spending a lot of money on entree's, pizza and cocktails.",5/12/2019,1,10,9,SEdFj6lL81C--I7GmVrfsw
28,Adam P.,0,2,"I ordered a Sicilian Pie with pepperoni and Rice Balls for a total of $39. Based on the hype surrounding this place, I must say that I was very disappointed. It wasn't atrocious, but at the same time my first experience wasn't that great. I can't say that I'll be coming back. Sicilian Pizza: major disappointment. The sauce was very good, but the dough/crust was hardened like a rock and there was virtually no cheese on it. The topping portions and placement were done right though, as each bite had pepperoni.  Rice Balls: very good, but for the $9 that I was charged, I don't think I would order it again. The portions of rice balls I received for $9 was far overpriced.",7/15/2019,31,15,5,FhBDIayXJLFGkiRrFtlxAw
29,Yan T.,1,4,"If you're looking for a square slice, this is the place to go. This neighborhood institution shows no sign of slowing down. I'm rarely in the area now but always happy to get a pie or two.In the summers, the outside area is enjoyable, with a homey feel.PS: The spumoni is really good and gets short shrift. Don't forego a few scoops if you're already getting pizza.",6/23/2019,2509,1722,230,NoOaVw8YAe4SlgWGLWMY8Q
30,Shirin P.,1,4,Totally worth the 1 hour train ride from Manhattan. Get the square pizza. The regular cheese pie is nothing special but the square is something else. It's crispy on the outside and fluffy inside. Tomato sauce tastes kind of sweet. We loved it,4/17/2019,16,495,138,5uFIyo8VAxXx2PwklmjrqQ
31,Tiffany O.,1,5,"Nothing bad to every say about Spumoni Gardens. Food is always incredible, fantastic service and rarely ever a long wait. I have ate in dining room, outside and take out. No matter what option you choose the food is ALWAYS fresh. I recommend their classic square slice over the round pie. For dining room options I recommend everything there hasn't been a dish I didn't like. But I will say my favorites. Boston Bibb salad, roasted artichokes, Baked clams (on my top 5 list), rigatoni with vodka sauce, angus steak and chicken francese. I also suggest doing the chefs table you get appetizers, salad, pastas, entrees and dessert and they do it family style. Whether you're a party of 4 or 8 they'll cater it to enough food and no one will go hungry. Can't wait for my next visit to L & B Spumoni Gardens!",5/10/2019,37,92,166,DLwt9F5KGWdxb6iZLrVKww
32,Brandon C.,0,5,"Great pizza, not the top three, but of course worth five stars! It's all in the dough!!I will cut to the chase the pizza is a Sicilian style (their signature) so it's a tomato pie(mainly sauce). The sauce itself is better than average with a small amount of spice to it mixed with that sweet marinara flavor is delicious. However....the dough is what makes this pizza. When you bite into it, IT NEEDS TO BE FRESH, the dough almost deflates in your mouth, like you pop a balloon and all the flavor slowly seeps out of the slices pores into your mouth. Most pizza is either too thin, and Sicilian  style pies are usually reliant on the dough, others have fallen short with flavor where the cheese or tomato flavor masks the doughs flavor as well as others have a harder texture. But Spumoni pizza dough has such a sweet taste to it like fresh buttered bread rolls that deflate in your mouth and make them so distinguished yet so entwined  with the remaining ingredients, although not my favorite all around pizza I've had, it's my favorite all time Sicilian I had though.The other dishes were good, calamari lacked a little bit of flavor and the calamari was a tad rubbery. The baked clams were surprisingly really good they kept that jersey shore style clam feel to them where they looked like they were just plucked from the ground haha but they had great juice added on and delicious Italian style bread crumb.",1/6/2019,153,26,64,99q0m9dcGhwq-ywcIMYr_Q
33,Jose C.,1,5,"Update: just wanted to add that I came back and finally ordered a full pizza this time with pepperoni. For some reason, it tasted better last time I was in, without the pepperoni. It was still very tasty, but next time I come, in just gonna stick to a slice or two. When I think New York style pizza, I think large round big slices that you fold in half. Who ever knew that one of the best pizzas I've ever tried would be cut into a square. Yes Detroit's style is also Sicilian style square cut, and here at home in Chicago we cut our thin crust into squares, the slice from here was truly amazing. I walked into the wrong place at first to find out I didn't see any slices available on the menu. I walked back outside and into the ""pizzeria"" and you ask for your slice right in the front. Unfortunately, I only wanted to get a slice since I was trying to order slices from other areas. Now that I know how delicious these slices are, I won't be leaving this place without an entire pizza. The square itself was thick cheese and sauce on top. The sauce is what makes this pizza so delicious without a doubt. Not too sweet, not too thick, not too saucy. Just simply perfect. I also consider myself a very meaty guy. And prefer sausage on my pizza. Pepperoni would also do. But this slice of pizza does not require meat to enhance any flavors. The slices only come with sauce and cheese, if you want other ingredients you would have to purchase a full pizza. Im a very bias type of person and support all my local places and have always thought that nothing could touch Chicago style pizza. Spumonis is very close to rivaling what we have here in chicagNo folding the pizza here. Just take a bite and enjoy the deliciousness. Next time I'm in town, I'll definitely be coming back here.",6/22/2019,456,557,963,XP5hqB6A9rvXlH_LHtzUgA
34,Chad J.,0,5,One of the best ! Put a star next to this one for sure. Keeping Brooklyn on the map.,12/13/2018Updated review,0,46,40,Ygk3DX0A6lFwoYMXx2gzvA
35,Alan N.,1,5,"Even though I'm not a fan of thick pizza, this place is legendary and rightfully so. As per my friend Ben, ""L&B Spumoni? The best.""You absolutely cannot beat the price here. Even with all the hype around this place, L&B still respects the locals and the community. They don't jack up the price even though they know they can. So in my books, they're A-ok with me.Very buttery crust. Good salt in the cheese. Old school classic slice. Even though I don't love doughy pizza, that square slice is special.",4/7/2018Previous review,317,335,1477,xl9Rcs-cW9Vt4140HR03nA
36,Seth H.,0,5,Visited NY for our Honeymoon and my friend told us we had to stop by here to check it out. It was so good and for sure the best Pizza spot we tried during our trip!,5/24/2019,30,32,24,B2pOHQ1LwTLgxMucPFCdqg
37,Samantha V.,0,1,"The pic should say enough.  It's like jarred ragu covered with no name grated cheese.  What the "" to do"" is about??? Who knows.  As a Brooklynite for 51 years I've tried it on too many occasions. I tried to like it. It's just horrific.  I kindergarten class on  pizza making day could do better.",12/7/2018,21,27,14,77ewOneFaBnv-VBhmbW2Sw
38,Meini C.,1,4,Known for their Sicilians slice (cheese first then sauce) and of course their other pizzas. I've grown up eating their pizza and love it. Definitely a credible pizza spot In Brooklyn. If you're ever in the neighborhood I definitely recommend coming here for the experience. Their ice cream is also delicious!,7/17/2019,348,152,528,439z_xJcbZ-sltAFieWh-Q
39,Vincent A.,1,4,"Went here with my sister on a Thursday night on the way to the airport. The first thing I have to say was that I was shocked (in a good way with how crowded it was). A lot of the restaurant is outdoor seating and it was raining when we went and there was still a great line. They have a great indoor seating area and then outside they have a huge tent for people when it is raining. The ordering process for outdoor seating was super easy. There were three different windows for what you could order. One window was for pizza, another for ice cream and a final for the rest of the hot foods they sold. My sister and I both got two slices of the square pie and one of the circle slices. We both agreed that not only was the square much better (I think it is what they are known for) it was one of the best square slices we have had in our entire life. The circle slice was average. Came out a little cold for us. They were not reheating slices because of how fast they were selling them, but I guess the normal was not selling as fast by the slice. We also got an order of fries and they were super good and I would highly recommend anyone to get them if they are a fan of fries. We ended our meal with an ice cream cone each. The ice cream was very good, the only problem I had with it was that the cone is not very good compared to the ice cream. They should really get some waffle cones instead of wafer. Wafer cones taste way to fake in my opinion. Overall, very good restaurant and very good experience.",6/29/2019,2,87,9,dKt1wNDtg-tsTE0GKygWqA
40,Sarah R.,0,5,"Simply the best square pizza ever, and the spumoni and Italian ices are great too!",7/18/2019,299,11,1,81j_Ea5LSSupgpr3sd9wGQ
41,Lawrence C.,0,4,"So I came here one day on the recommendation of many friends for their sicilian / square pie. One having told me he'd occasionally make the drive from NJ just to grab a pie or two to bring home.Now I ordered a whole pie ahead of time for pickup with my family and had it in the car. Maybe it wasn't fresh out of the oven but fairly fresh. That being said I know my initial impression was huh? That's it? The flavors aren't anything that would stand to be impressive or remarkable in my opinion. However that being said, what is remarkable is the overall balance of flavor in such a way that you also don't get tired of eating it and stand to want more. Almost like a hidden addictive property where you just kinda want to crave more. The sauce and cheese as others have said are well balanced and the crust is incredibly crumbly with nice texture as you chew. Surprisingly still good as leftovers reheated in an oven as well!As I've said, somehow I kinda want more square slices and so will definitely be back. I see why they always draw a crowd.",6/12/2019,46,42,11,QJUq-qw80yCw8tZzgadKWw
42,Angela L.,0,5,"Best square slice. PERIOD.I've never tried a round slice from here, but the square slice is delicious.The unique thing about L&B square is they put the mozzarella cheese on top of the dough, followed by the sauce. Totally different from a traditional pizza, but GENIUS. The cheese melts into the dough and makes it so soft and pillowy. There is no cheese-pull with this sbut I am totally okay with this because the flavor and texture is the best ever.The sauce is truly the star here.Tangy with the perfect amount of sweetness and covered in a beautiful snowfall of fresh grated Parmesan *swoons*I will come back over and over again.They also have delicious spumoni! (Pistachio, vanilla and chocolate ice cream swirl)3/24/19I'm back to let you know the Creamsicle soft serve is incredible. That is all.",3/24/2019Updated review,3,22,39,_KsgIIZCvZW9Z44bWhWXhA
43,Robert F.,0,4,"Always a no brainer for Sicilian slices. This time was forgettable though. Pasta and apps were great. I ordered the cheesesteak and after one bite realized it was nothing more than heated up roast beef with cheese on it lol. My suspicions were confirmed once i moved the meat, you could see the gravy on the bread. Tastes ok, but call it what it is; that was no cheesesteak.  Bottom line, still a great pizza place. Just skip the cheesesteak....",1/5/2019Previous review,16,3,6,V0om1M8ExbhzPnA9X2xAcQ
44,Buonarotti G.,0,3,I wont be goingbout of my way to go here for an over-rated pizza. Cheese was like deli slices under sauce and was not even melted in the two pieces i ordered and did not finish. The salads looked really good and the pasta dishes that l saw coming out were piled high but l prefer less of very good quality. Wait staff was excellent but food not to my liking or taste. Wont be back.,4/14/2019,18,265,774,-fGhtQIddNvy1gEgMBOZMg
45,K C.,0,5,Delicious Sicilian pizza. The airy crust was soft and chewy. The sauce was extremely tangy and flavorful. Between the two was a perfect layer of cheese. It was a unique and tasty square. It reminded me of Chicago deep dish. I would love to come back!,6/24/2019,348,143,273,z9Ij3rG4z-kMZpilBgYyTw
46,Emily K.,0,5,"Amazing experiences throughout my entire life. So many memories of friends, family, and great food. Thanks L&B!",6/18/2019,0,4,7,DbVCexgIXJpG0jUeaFVf6A
47,Helen C.,1,4,"Yuuuummmmyy. L&B is always worth the stop if you're ever passing through the area or looking for a causal bite! This is a Brooklyn classic that locals & visitors both love. Sicilian slices come out a little doughey sometimes if they're not baked all the way through. If you don't like that, I'd recommend asking them to keep it in the oven for an extra 30 seconds or reheat when you get home.Pizza sauce is light, fragrant and a little sweet - seriously addicting!",7/2/2019,285,79,179,QRN-yAxnzXMa0zVH_k-6dg
48,Hal D.,1,4,"Great Sicilian slice and low prices, but the regular slice was very cold (despite the fact that we asked if it's warm). The Sicilian slice has a fluffy texture, beautifully tasting sauce and a really nice cheese component. They have a parking lot but keep in mind it's incredibly crowded on Saturday nights. Highly recommend the spumoni ice cream! Best in town!",12/23/2018,222,171,454,m1V8j-a8jGycLY8TDzyfKQ
49,Tara D.,0,5,Love this place!!! Excellent choice for food and authentic italian food.  Keep up the great work!!!,4/8/2019Updated review,0,9,3,g-agorpdNUiPI6eWulOl4g
50,Julianne M.,1,5,"Loved the entire experience here. Got a spot in the parking lot, last one felt quite lucky.On a warm autumn night the rain stopped just in time for us to dine al fresco. Ordered sicilian slices, two per person - which was perfect.Asked for a corner slice because usually I love those, but honestly - the center is where it's at here! I never thought I would say that about anything, but really - the sauce and that drizzle of whatever seasoning & cheese are just divine.Hop back on the line & get yourself a little rainbow spumoni which has excellent texture and taste, to cap off a perfect night!",9/9/2018Previous review,80,325,1725,RBQ2rtnMI93JuE8UyVBItg
51,Rosalia X.,1,5,Their square slices are my favorite. Their pizza are my favorite and the only crust I like to eat. If you don't like eating regular pizza slice give this Square crust a try. If you still don't like the crust just let them know you would like the middle slices. If you don't tell them which slices you want they would give you a random slice.,7/18/2019,685,87,97,BvRUwN5QUWOdWaYLMEKY2g
52,Aureli R.,0,5,Spumoni gardens what an experience !!! Have to start with quality amazing the food just taste different makes me wonder what I'm eating at other places ? From freshness to quality nothing compares I had sausage with peppers and onions and after I ate I didn't have a bloated feeling even had enough room for ice cream which is also made fresh at the facility The place is at times over populated but I must say I was impressed by the service and staff work together and quickly to get orders together for customers. If your ever in the neighborhood this is a must stop to grab a bite to eat you will not be disappointed 5 star,10/24/2018,2,4,4,X1i3fy_k4UdoFVQMtXCXhw
