,sort_name,df_min,df_max,appearances,review,name,address,pro_score,sentiment
10,b squared,17,17,1,"B Squared is in here because it is my neighborhood place, and it is SO GOOD. May I recommend their Honey Bee pie? It's a tomato-mozz-sopressata-garlic-puree-chili-oil-honey DELIGHT.",B Squared,"679 9th Ave New York, NY, 10036",0.260586319218241,0.7512870518507505
11,babbalucci,18,18,1,"Babbalucci is a neighborhood Italian spot in Harlem with one key advantage: a wood-burning oven they use to make about 20 different types of pizza.Walk into Babbalucci, and you’ll notice a wood-burning oven in the back of the dining room. And that’s what makes this place an above-average neighborhood Italian restaurant. They do about twenty different pizzas in two different sizes (with toppings like duck prosciutto and gorgonzola) in addition to a full menu of pastas, small plates, and proteins. This place isn’t huge, but it’s cozy and family-friendly and the little front patio is a great place to drink wine when it’s nice out.Pizza, Italian, Casual Weeknight Dinner, Kids, ",Babbalucci,,0.016286644951140017,0.9059737089992016
12,bad boys pizza,19,19,1,"Situated in the midst of what is rapidly becoming the city’s fifth Chinatown, Bad Boys is a classic full-service pizzeria, rolling out such sidelines as baked manicotti, pepper-and-egg heros, and fried calamari. But the star of the show remains the pizzas, especially the fresh mozzarella pie with a soupçon of olive oil dribbled atop the cheese, and the square Sicilian, with a crust a little thinner and crunchier than most and a fragrant scatter of dried herbs.",Bad Boys Pizza,"2313 86th St, Brooklyn, NY 11214",0.45602605863192175,0.25149004134133723
13,barboncino,20,21,2,"Barboncino is a neighborhood pizza place in Crown Heights that's kind of like the Roberta's of the area. It's good and family friendly.Barboncino is the go-to sit-down pizza place in Crown Heights. Think of it as the Roberta’s of the area, but less crowded. The pizzas are Neapolitan-style (thin, chewy, a little burnt) and they come in a handful of red and white varieties. There are also salads and a few small plates, and the space is big and family-friendly.Pizza, Big Groups, Casual Weeknight Dinner, Dinner with the Parents, None",Barboncino,"781 Franklin Ave (btwn St Johns & Lincoln Pl), Brooklyn, NY",0.547231270358306,0.8994191236769407
14,bari pasta & pizza,22,22,1,"In an iconic Stapleton location across the street from Tappen Park, Bari’s specializes in an indigenous type of Staten Island pie that features dense, dairy-driven toppings. Shown here are two representative slices: One is a pizza-fication of the Philly cheesesteak, swamped with thin-sliced steak, caramelized onions and peppers, and a Whiz-type cheese; the other attempts to mimic a pasta Alfredo in slice form. Both are rich and taste better than they look. The pizzeria is named after the capital of Apulia, the homeland of many Staten Islanders and Brooklynites.",Bari Pasta & Pizza,"596 Bay St, Staten Island, NY 10304",0.45602605863192175,0.6167639278448227
15,beebes,23,23,1,"Beebe’s is a restaurant in the bottom of The Boro Hotel in LIC, and it’s a perfect for when you’re in the area and need something easy.Some restaurants aim for the stars, like John Glenn and Alan Shepard in the early days of NASA. Others just try a few new tricks, like a pilot doing a barrel roll. Beebe’s, on the other hand, sticks closer to the earth - and, as a result, it’s the sort of place where you can eat on a weeknight and have no regrets.Pizza, Italian, Date Night, ",Beebe’s,,0.25081433224755695,0.8201358785157592
16,belmora,24,24,1,"This agreeable East Side pizzeria offers a larger dining room than most and a sunny southern exposure. The slices are about average in thickness and crispness, with a tomato sauce rich and herbal but not sweet. Its forte is unexpected combinations of ingredients, including a great pepperoni and black olive slice that turns out to be fantastic. Plus, it's open at 8 a.m., seven days a week — in case you'd like a slice for breakfast.",Belmora,"139 E 57th St, New York, NY 10022",0.45602605863192175,0.9459710281195371
17,bergen pizza,25,25,1,"This quintessential Brooklyn pizzeria has seen progress overtake it. Where once its main feature was proximity to a police precinct, now it’s being engulfed by the nearby Atlantic Yards developments. For a neighborhood joint, it sure has a nice dining room, though perhaps a little more lit than you might like. The thing to get here is the Sicilian slice, which is nicely salty with more cheese than you usually get. The crumb is dense enough that one’s a meal. Salads are unexpectedly spot-on here.",Bergen Pizza,"67 6th Ave, Brooklyn, NY 11217",0.45602605863192175,0.8284156440598206
18,best italian pizza,26,26,1,"This mainstay with a self-congratulatory name sits just east of the South Bronx shopping district called the Hub. Open since 1958, it was founded at the dawn of the neighborhood pizzeria era, when the stacked pizza oven was first popularized, and the old-fashioned interior, with an order window on the street, shows it. The slices are thicker, with lusher toppings than usual, and the accommodating pizzaioli will ladle extra sauce on a slice at your request. Get the white spinach, which boasts clouds of soft ricotta and plenty of garlic.",Best Italian Pizza,"412 E 149th St, Bronx, NY 10455",0.45602605863192175,0.19566542362849745
19,best pizza,27,33,7,"The name sounds like the product of asking someone on level one of Rosetta Stone English what they thought of their first visit to New York. But you won’t care that typing the name into Google pulls up every pizza spot in the city, or that they only offer a few different kinds - because the wood-fired slices here are so good that you’ll keep burning the roof of your mouth instead of waiting two minutes for them to cool off. The classic cheese and the grandma square are both great, but the white pie with ricotta and caramelized onions is easily one of the best individual slices you can buy. It’s a good thing they didn’t spend more time on decor or workshopping their name. Clearly they were focused on more important things.Best Pizza is a wood-fired pizza spot that serves classic New York City slices in Williamsburg.Sometimes simple is best. Two-in-one shampoo and conditioner, E equals MC squared, Murphy beds. Thanks to these, you don’t need to worry about how well your Herbal Essences conditioner will work with your Pantene shampoo, or the best place to put a bed in a 200-square foot apartment, or how mass and energy are related in the universe. Best Pizza is another simple solution for something just as important - where to find great pizza-by-the-slice in Williamsburg.Pizza, Cheap Eats, Dining Solo, Late Night Eats, Lunch, Quick Eats, Serious Take-Out Operation, Naming yourself Best Pizza and opening up shop in the middle of Williamsburg is a bold move. Fortunately, Best Pizza does belong on a best pizza list. They execute classic New York pies and white pies at very high level, and unlike so many others on this list, the place is laid back and operated by very nice and friendly people.When it comes to the thoughtful reinvention of the classic New York slice here in the city, Frank Pinello may be Patient Zero. In retrospect, it seems inevitable. He was raised in Bensonhurst, trained at the CIA, and opened a slice shop in Williamsburg at the height of Brooklyn's mid-aughts renaissance. Those factors seem to have shaped the pizza he makes at Best, which is cooked in a massive brick bakery oven from the early 20th century—a setup that would have been familiar to the men who started the New York coal-oven giants Totonno's, John's, and Patsy's (though Best uses wood as fuel).  At the same time, Pinello's Culinary Institute chops reveal themselves in the attention he pays to ingredients—making, then shredding, fresh mozzarella for the cheese; pickling various vegetables for the sesame seed–crusted white ""pickled veg"" slice; respecting the ingredients enough to let them stand on their own, as with the nice bright sauce on the plain slice, which is made simply from good-quality crushed tomatoes. The crust on the regular slices is thin yet pliable, with a satisfyingly crisp-springy texture and great hole structure. The grandma slice has a light and crisp crust and a punchy sauce spiked with garlic and finely chopped anchovies. You simply cannot order the wrong slice here—and that's before we even mention the fantastic sandwiches, which we won't, because this list is all about pizza. The Vibe: Housed in a former bakery in Williamsburg, the homey pizzeria's walls are decorated with customer designed paper plates. You'd never know it from the modest digs and $3 slices, but this Williamsburg pizza joint boasts a serious pedigree. Occupying the former Brooklyn Star space, it's backed by the owners of Roberta's, who tapped Pulino's alum Frank Pinello as pizzaiolo. He's turning out pies topped with seasonal vegetables and local goods; the house-special Grandma pizza, available only by the square slice, features anchovy-laced plum tomato sauce and mozzarella. Perch on one of 16 wooden seats if you like, or take your grub to go—the food, not the ambience, is the real draw here.Mushroom with caramelized onion Best Pizza is a Williamsburg take on a classic slice joint. There's the simple menu of pizzas and heroes, a small selection of beers and wines to wash it down, booths and paper plates both for your pizza and decorating the walls. But this being Williamsburg, the pizzas have hip touches (a sesame crust on the white pie, for example), the oven is wood-fired and not a stacked gas oven. The simple name, spelled out in a sign that looks way older than the pizzeria's seven years, is a sort of tongue-in-cheek throwback. The soundtrack is loud rap instead of the oldies station or Frank Sinatra playlist you'll find at the usual corner place. And the pizza hits it out of the park: the ideal unfussy New York slice, thin crust and tasty tomato sauce covered in a just-sparse-enough blanket of cheese and classed up with some basil leaves. ""We use a wood-fired oven -- it's over 100 years old. I feel like that definitely makes a difference. You get a little more char on the pies; you get a little bit of a smokey flavor to it,"" general manager Hugo Chino said. ""We use fresh mozzarella on all of our pizza, we cook our mozzarella here and I feel like that makes us a little bit different from other pizzerias that are by the slice."" ",Best Pizza,33 Havemeyer St.,2.475570032573289,0.9983388707717051
20,bocce union square,34,34,1,"Bocce USQ is an outdoor Italian restaurant in Union Square Park, and it’s perfect for an after-work spritz when you’d rather be in Rome. In the early aughts, there was a television show hosted by Xzibit called Pimp My Ride. We don’t currently have time to explain who Xzibit is, but the show itself always involved a very average car getting a big makeover. A van might wind up with a hot tub, for example, or an old TransAm might get a new paint job, a chandelier, and an incredibly impractical espresso machine.Pizza, Italian, Date Night, Drinks & A Light Bite, Outdoor/Patio Situation, ",Bocce Union Square,,0.25732899022801287,0.3998578205576631
21,bono trattoria,35,35,1,"Bono’s excellent pizza and pasta and low-key atmosphere make it our favorite spot for Italian food in Harlem.Bono Trattoria serves excellent Neapolitan pies and fresh pastas in a setting that works for everything from a friend hang, to a date, to dinner with your parents. It’s run by a couple of Italian guys, and it’s the kind of place where you could just as easily split a couple pizzas and bottles of wine at happy hour as you could go for a full-on multi-course dinner. They open up all the big windows in the summer so that it feels indoor/outdoor, and the space has a laid-back, really comfortable feel. This is our favorite place to eat Italian food in Harlem.Pizza, Pasta, Italian, Big Groups, Casual Weeknight Dinner, Date Night, Dinner with the Parents, ",Bono Trattoria,,0.016286644951140017,0.9714669004009873
22,bravo pizza,36,36,1,"This especially comfortable pizzeria is part of a Manhattan mini-chain, with a deep dark interior kept cool in sweltering weather, and mounts an enticing display of by-the-slice pies to lure passersby, some of them rather creative. Of several sampled, the one topped with pepperoni and canned jalapeños was the most enthralling, mouth-tingling in the best possible way.",Bravo Pizza,"6 E 42nd St, New York, NY 10017",0.45602605863192175,0.8160973990897586
23,broadway pizza & pasta,37,37,1,"Located in hilly Kingsbridge and boasting a big and comfortable dining room, BPP is deluxe for a neighborhood joint. The best slice wasn’t the Neapolitan pepperoni or the Sicilian cheese, but the lasagna slice, with gobs of mellow ricotta, splotches of sweet sauce, and herb-scented ground beef. You won’t miss the noodles. For a bigger meal and a spicy kick in the pants, try the chicken fra diavolo ala Rosa, one among many entrees served with spaghetti, ziti, or salad with garlic bread. The slogan of this delightful spot is, “The taste you always come back to,” and we will! ",Broadway Pizza & Pasta,"192 W 231st St, Bronx, NY 10463",0.45602605863192175,0.84036376382514
24,brooklyn pizza crew,38,38,1,"The Vibe: Although at first glance Brooklyn Pizza Crew appears to be a ubiquitous storefront Brooklyn pizzeria, it isn't. The graffiti art on the wall and the wooden tables give the spot a more modern feel. ",Brooklyn Pizza Crew,"758 Nostrand Ave, Brooklyn, NY 11216, USA",0.3745928338762214,0.056920987641042656
25,brooklyn pizza market,39,39,1,"Brooklyn Pizza Market is a takeout pizza spot in Carroll Gardens with a joint Star Wars/New York Jets theme.Brooklyn Pizza Market is, most likely, the only pizza place on Earth that’s equal parts New York Jets and Star Wars-themed. This is a tiny spot on Smith Street, and they make pizzas with names like Gang Green and C3PO. They do both square and round pizzas here, and you can customize either kind with upscale toppings like fontina, prosciutto, and sopressata. It’s a great pickup or delivery option, and it’s perfect for when you need a quick slice or some garlic knots handed to you by a person in a Jets hat.Pizza, Carroll Gardens, Quick Eats, Serious Take-Out Operation, ",Brooklyn Pizza Market,,0.016286644951140017,0.8125545224875897
26,brothers,40,40,1,"For 49 years Brother’s has occupied a prime spot in Fordham Manor, with the elevated 4 train towering overhead. The premises are very modest indeed. The plain slice is thin crusted and cheesy, and the sauce is practically unseasoned, which is just fine with me. Other pies beckon, more often available as whole pies rather than individual slices, including a lasagna pie, a salad pie, and a Hawaiian pie with ham and canned pineapple, a favorite in South America.",Brother’s,"27 E Kingsbridge Rd, Bronx, NY 10468",0.45602605863192175,0.41405505376683155
27,brothers pizza,41,41,1,None,Brother's Pizza,"750 Port Richmond Ave, Staten Island, NY",0.6254071661237783,0.056920987641042656
28,brunetti,42,42,1,"This West Village joint, opened in 2013, is an offshoot of a Westhampton pizzeria. Head here for wood-fired pies, particularly the clam pie, one of the best versions available in NYC. The margherita and Brussels sprouts pies are strong choices, too, and can be enjoyed in the garden out back.",Brunetti,"626 Hudson St, New York, NY 10014",0.260586319218241,0.682673991324121
29,bruno pizza,43,43,1,"Bruno in the East Village mills its own whole wheat flour, and tops its pizza with things like fermented tomatoes. It's...interesting.Bruno Pizza has a special mill that mills special whole wheat flour. The pizzas are topped with things like fermented tomatoes and peaches. It's like science lab, but with pizza.Pizza, Vegetarians, ",Bruno Pizza,,0.25081433224755695,0.8725048010973935
30,cafe al mercato,44,44,1," Tucked away in the back of the Arthur Avenue Market, where a mishmash of stalls hawks everything from produce to cigars, this assuming counter sells the Sicilian slice's rustic relative: the grandma. Like the Sicilian, it's baked in an olive oil-coated pan that gives its crust a satisfying crispiness, but the dough for a grandma pie is given less time to rise, so the result is squatter and denser. The grandma also reverses the order of sauce and cheese, with mozzarella binding directly to the crust and crushed tomatoes sitting on top. Order yourself a square slice, which glimmers enticingly with oil when it's reheated. When it's ready, grab a table in the reserved seating area, bordered on one side by a low brick wall making a half-hearted attempt to evoke a sit-down restaurant. On second thought, add an espresso to your bill, because you'll want to linger for some people-watching. ",Cafe Al Mercato,,0.04885993485342016,0.41405505376683155
31,cafe viva,45,45,1,"Leave it to an Upper West Side pizzeria to brand itself as kosher and “natural.” On a superficial level, Cafe Viva resembles any other city slice shop, but a closer look at the labels behind the glass counter reveals some unique crust alternatives: there’s whole-wheat, corn, gluten-free and spelt. All pies and slices are vegetarian, but vegan options include a Sicilian with kale, tomatoes, onion, vegan lemon aioli and vegan cheese ($4.95 a slice, $32.95 a pie), and the Zen, built on a spelt crust infused with green tea, and topped off with green tea-herbed miso tofu, green-tea basil pesto, two kinds of mushrooms, caramelized onions, sun-dried tomatoes and roasted garlic ($6.96 a slice). All desserts, like the tiramisu, carrot cake and blueberry tofu cheesecake, are entirely plant-based, too.",Cafe Viva,2578 Broadway,0.09771986970684038,0.8085409899021114
32,camillo,46,46,1,"The Roman food obsession in NYC is real, and Camillo in Prospects Lefferts Gardens focuses on the pinsa variety. Owner-chef Michele Baldacci — who also runs Clinton Hill’s Locanda Vini e Olii — is serving up standout versions, which are oblong in shape and slight in weight, with generously applied toppings. Try the Romana, which is Amatriciana-sauced on half and slicked with cacio e pepe on the other half, or the capricciosa, topped with tomatoes, olives, artichokes, mushrooms, and prosciutto cotto. There are also excellent pastas and a wide selection of negronis in the in attractive, marble-accented and brick-walled space. ",Camillo,"1146 Nostrand Ave, Brooklyn, NY 11225",0.260586319218241,0.7455024816526878
33,campania coal-fired pizza,47,47,1," Another relative newcomer, Campania recently expanded its reach with a second location on Staten Island's South Shore. (There's also a third one in Bay Ridge.) It bucks the Staten Island trend toward a classic New York pizza oven for a coal one, delivering artful margherita pies and one of the borough's best vodka pies, dubbed the Americana Pizza and sprinkled with pecorino cheese. ",Campania Coal-Fired Pizza,,0.09771986970684038,0.4817677237248465
34,carusos,48,48,1,"Proudly proclaiming itself the oldest pizzeria on Smith Street (there’s really not all that much competition), Caruso’s also functions as an a Italian restaurant, with an expanded roster of pastas and dinner entrees. These are all fine, but the pizza is particularly good, including several round pies featuring fresh mozzarella. The pie called “fresh mozzarella” is the most engaging, and it can be made with the restaurant’s signature sesame crust, whereby the ridge around the pie is implanted with seeds, probably a practice of Sicilian or even Greek origin. Whoever invented it, the slice is absolutely great. ",Caruso's,"150 Smith St, Brooklyn, NY 11201",0.45602605863192175,0.9378085020904257
35,celeste,49,49,1,"This old school red sauce Southern Italian trattoria has been an UWS neighborhood staple for years. The food is definitely good and very well priced for the area, but the real reason you’re coming ...This old school red sauce Southern Italian trattoria has been an UWS neighborhood staple for years. The food is definitely good and very well priced for the area, but the real reason you're coming to Celeste is to spend some quality time with the owner. Welcome to the Carmine show.Pizza, Pasta, Italian, Classic Establishment, Impressing Out of Towners, ",Celeste,,0.25081433224755695,0.9011409389020357
36,champion pizza,50,50,1,"Proving that neighborhood pizzerias are still viable, even as more expensive and pretentious pizzerias have become common, Champion is a mini-chain with a newish branch in Williamsburg. Sold by the slice, most of the pizzas are square, the crusts relatively thin, and done to a dark brown. Toppings are innovative, too, including one slice that features alternate bands of green pesto and red tomato sauce, like a Morris Lewis painting in the Museum of Modern Art.",Champion Pizza,"187 Bedford Ave, Brooklyn, NY 11211",0.45602605863192175,0.7512870518507505
37,cheesy pizza,51,51,1,"The name says it all at this Upper West Side institution dedicated to the dairy component of the classic slice. The cheese here is so profuse, it threatens to roll off the pie. Sure, the crust is a bit doughy and pale ensuring the sauce recedes into the background. But gradually as you eat it, you’ll realize the other components have been formulated so you can better worship the molten cheese.",Cheesy Pizza,"2640 Broadway, New York, NY 10025",0.45602605863192175,0.6070474472135611
38,ciccios,52,52,1,"Living in the shadow of L&B is Ciccio's (just a 10-minute walk away—make it a twofer visit!). We learned about it at Slice back in the day from Gravesend local David Sheridan, who went on to open Wheated in Ditmas Park. Ciccio's is known for its sesame seed crust, one of the few shops in New York where this is SOP. It's got a dense edge, more cheese than many a New York slice, and nice color on the underside. The crust is like getting a bonus red-sauce sesame stick.",Ciccio's,207 Avenue U,0.260586319218241,0.7207295355562153
39,circa brewing co,53,53,1,"Circa Brewing is a beer hall and brewery in Downtown Brooklyn. The beer is decent, and it’s good for groups, but we aren’t really fans of the food.Circa Brewing is a big beer hall and brewery in Downtown Brooklyn. The space is big, and clearly the neighborhood needed something like it, because it’s already packed. The beers are pretty good, and they even have shuffleboard. As for the food? Not something you need to be eating. They serve a lot of pizza and some other wood-grilled things, but none of it is very good. If you’re looking for the Brooklyn version of Houston Hall, this is it. But also why are you looking for that?American, Pizza, Big Groups, ",Circa Brewing Co,,0.016286644951140017,0.9190036874851816
40,como pizza,54,54,1,"The slogan of this Washington Heights pizzeria not far from Columbia Presbyterian Hospital is, “Keep this place in mind, a better pizza is hard to find.” Como is one of those tiny places where the main output is mainly cheese slices, with each pie being subdivided and scooped up the minute it comes from the oven. The crowd loves these plain pies, and you rarely see extra toppings, though if you consult the menu pies with names like Hawaiian, meat eaters, and genuine Mediterranean (eggplant, black olives, and “authentic feta”) are available. Founded 1963, near the start of the neighborhood pizza era.",Como Pizza,"4035 Broadway, New York, NY 10032",0.45602605863192175,0.6530458206957587
41,corner slice,55,56,2,"Garlic-heavy, delightful, and about ten steps from Gotham West Market's Ample Hills outpost. Not for those looking for a straight-up plain slice. Patience, pls – we'll get there.As Ed put it, ""Corner Slice may be the single best slice of pizza in New York at the moment. Holy s***, is this pizza good, and unlike any other slice around. They're elevating the New York pizza slice in a way that no one else has in a long time."" Ed's called co-owner Mike Bergemann ""the mad scientist of pizza"" for the way he's experimented with various cheese blends and artisan flours in crafting the square pies that lend the stand in the Gotham West food hall its name. The Corner Slice crust is made from a blend of durum and spelt flours from Central Milling, a Utah-based mill whose premium flours are considered among the best by many bakers and pizza-makers. Mike and his brother, Pete, employ long fermentations (which enhance flavor) of their dough, which is noticeably wet (making the finished product light and airy). The crust's flavor is excellent, and the crispness is on point, verging ever so slightly into crunchy territory. It's bubbly and light, yet sturdy. The tomato-topped slice, finished with a little Sicilian oregano, is a great way to get a taste for what the brothers are doing here, but pair it with another slice of whatever else calls to you. They're all good. ",Corner Slice,600 11th Avenue,0.521172638436482,0.9427713793782175
42,danis house of pizza,57,59,3,"Dani's is way the heck out in Kew Gardens, Queens, a true neighborhood spot if there ever was one, so you'd think it would be a casual, quick-grab kind of place. Nope. The few seats at the counter are never not filled, and there's a line out the door at lunchtime, at dinnertime, at 3:30 p.m. on a weekday, at midnight on a rainy Friday when the streets are otherwise empty, and at 10 p.m. on the coldest night of the winter in 2015, when I first visited after looking at an apartment nearby.  The crust is super thin, crisp, and light, with a generous helping of sauce, though be forewarned: Their semiofficial hashtag is #sweetsauce. I'm usually not into sweet sauces, but I make an exception for a fresh, hot slice at Dani's. And yes, I know we're supposed to talk only about the plain slices, which are great, but they're also kind of known for their pesto slice, which a lot of locals get with red sauce added on top.Simply delectable. If only they delivered to Forest Hills I would be in heaven, and also quite obese. I have to say their pizza is up there with the best I've ever had anywhere the world over.They should change the name to Dani's Church of Pizza; this old-school Italian spot in Kew Gardens makes an archetypal Queens-style pizza worthy of building a religion around. Every pie boasts a slightly sweet tomato sauce, cartoonishly stringy cheese, and a proper crust. After watching how each pie gets made on an episode of Fuck, That's Delicious, Action figured out a key secret to this place: ""It only takes eight minutes to make the pizza, so why the fuck do we have to stand in line for 45 minutes to get a slice?"" So while you wait around for your pie, save some room for the baked clams.",Dani's House of Pizza,81-28 Lefferts Boulevard,0.5863192182410422,0.987861086040038
43,daros pizza & chicken,60,60,1,"Surrounded by Northern Chinese restaurants, Daro’s is tasked with fulfilling two pressing neighborhood needs: pizza and fried chicken, a combination common enough in Brooklyn’s Afghani-owned fried chicken joints. Here it seems like the pizza predated the bird, because the list of pies is far more sophisticated than the chicken menu. A case in point is the grandma slice, thin-crusted and utilizing fresh mozzarella, premium tomato sauce, and fresh basil — an herb not easy to find in these parts. Hot heroes are another strong point, especially the iconic egg and peppers.",Daro's Pizza & Chicken,"4425 Kissena Blvd, Flushing, NY 11355",0.45602605863192175,0.9307489358093428
